ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Spartobacteria	19	17	60	70	7	63	59	30	10	78	7	121	43	1	13	10	99	27	59	30	42	9	52	2	62	26	56	26	19	3	147	64	44	66	12	12	53	11	91	25	89	88	190	48	17	16	24	55	11	14	80	62	31	41	24
Verrucomicrobiae	1717	19388	241928	2653	15401	593	1472	119966	38773	1343	45089	384427	18654	539	762	195	6761	944	306142	12904	1244	499	1126	127	1074	12066	311882	490	94806	32388	893	185008	487	951	3913	20006	14537	6535	817	718	132407	50947	71924	493	4214	541	1306	1499	9542	1334	31069	3529	177453	6121	835
Opitutae	42	110	369	34	6	317	229	109	66	150	10	496	112	25	61	116	345	118	233	101	139	108	347	18	238	79	136	430	78	39	87	290	348	136	74	68	168	44	313	198	319	320	1564	140	83	199	458	203	33	25	246	300	64	136	101
Methylacidiphilae	4	12	48	2	1	2	6	8	0	6	1	17	1	0	0	5	18	5	8	0	23	0	10	1	7	5	6	19	6	1	1	19	5	11	4	0	9	4	4	18	21	8	9	3	3	4	0	8	6	2	9	8	1	2	6
Kiritimatiellae	0	1	9	0	0	2	6	1	1	0	0	13	0	0	0	2	0	0	5	5	3	1	2	0	0	0	11	0	3	0	0	2	0	0	2	1	9	0	0	0	12	3	41	0	0	2	1	0	0	2	5	2	2	1	3
Planctomycetia	135	96	426	62	22	356	348	226	79	261	23	710	338	59	222	219	544	330	405	173	330	76	341	13	294	244	247	347	127	49	99	359	244	300	75	102	297	74	547	337	740	576	1037	284	129	154	185	233	58	80	473	353	179	245	219
Phycisphaerae	38	83	278	110	17	174	244	98	36	179	15	337	88	34	64	42	269	105	206	169	131	50	184	29	116	96	172	82	182	42	65	198	133	121	47	32	208	41	180	108	415	293	643	159	75	95	88	124	46	30	227	183	112	172	89
Candidatus Brocadiae	3	5	7	1	7	14	14	8	3	0	0	15	4	4	12	10	12	15	2	4	9	0	14	1	10	7	4	29	7	6	3	16	63	5	8	5	12	2	12	14	8	79	17	8	10	26	12	7	4	9	28	22	5	7	2
Chlamydiia	31	37	354	114	19	467	968	84	98	537	29	241	131	55	504	563	189	103	69	145	214	429	1262	39	986	202	260	721	34	45	287	55	818	285	40	230	238	42	638	1110	2737	315	333	236	64	1894	143	922	51	264	223	235	191	40	2473
Lentisphaeria	25	118	2984	32	23	566	242	142	27	97	17	15319	3029	27	47	87	1144	1025	548	98	178	45	517	12	133	2365	132	120	5824	30	2165	50832	168	12489	46	836	199	34	109	57	313	1524	66617	15105	126	254	103	133	85	58	248	7072	25	94	73
Fibrobacteria	134	92	353	55	18	483	218	179	69	381	40	415	209	48	87	249	341	320	178	205	304	375	499	18	525	132	144	637	95	37	392	191	183	404	53	68	252	48	467	347	455	413	551	256	142	335	287	505	57	86	306	454	79	219	256
Gemmatimonadetes (219685)	31	47	135	5	2	94	124	47	48	100	7	183	77	7	28	21	135	46	121	43	150	37	104	4	162	36	110	74	45	14	38	115	78	63	24	37	93	26	151	79	154	146	347	98	42	27	79	43	20	16	97	87	31	65	64
Bacilli	59898	26001	56772	80670	48951	34142	165657	55956	112051	28004	38849	50643	20524	75958	23299	19774	36560	120291	34721	35876	86249	26827	66402	66264	58621	73250	38657	178209	37525	44427	58093	52060	106246	42740	90096	28383	69103	30040	53990	141911	55010	171709	48813	58949	127449	34380	55777	81753	102001	540690	41650	37298	38638	86938	95336
Clostridia	4787807	3725296	7284746	10067595	5038392	3065435	4925765	6848966	7700367	4409859	5518464	4400412	3174994	3973954	4908169	832487	6144730	4394744	5047761	7658761	7853585	3203251	3876148	6482941	4160910	9425538	5772230	1713898	3619538	3695207	3319977	9597643	11061482	3449963	3505082	3674803	12600018	5036589	3646655	2162881	6733488	8100785	3249165	4564363	8479566	1745914	4688590	6480955	3165616	5230128	7042804	4624567	4683630	5995416	3683210
