species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	site	rank
Lachnospiraceae bacterium UBA7294	442.305826291041	-0.369470406433996	0.361403434262308	-1.02232123828085	0.306628884430992	0.41360829522136	Bushbuckridge	species
Prevotella copri	783098.372864068	-0.364442182081983	0.384760020076204	-0.947193479223238	0.343540197528389	0.447486909656078	Bushbuckridge	species
Acinetobacter baumannii	25349.5620206257	-0.352426904295011	0.293376911329691	-1.20127689223287	0.229643810987024	0.332682084174519	Bushbuckridge	species
Prevotella sp. CAG:592	4529.19529990553	-0.352416051907953	0.383968989101946	-0.917824256412501	0.358710881020266	0.462287695922083	Bushbuckridge	species
Roseburia faecis	6405.06641159448	-0.350169628182117	0.326616722264447	-1.07211175764173	0.283669838447908	0.395322623466783	Bushbuckridge	species
Clostridium sp. AF37-5AT	598.120616457563	-0.347204548119625	0.180668337413091	-1.92177861982399	0.0546336196716673	0.0950217969647624	Bushbuckridge	species
Clostridiales bacterium UBA5901	11417.8569851957	-0.342299846402707	0.250896137295662	-1.36430895306822	0.172470349279896	0.256591916698276	Bushbuckridge	species
Firmicutes bacterium CAG:95	2493.8888698877	-0.33281522051957	0.316081462767477	-1.05294128167334	0.292367904473438	0.403334813671311	Bushbuckridge	species
Clostridium sp. CAG:62	2381.35098935225	-0.331709696172382	0.344124885955631	-0.963922429647099	0.33508481766857	0.439693909156043	Bushbuckridge	species
Bacteroidales bacterium UBA6384	1396.08341522169	-0.314197751176683	0.66421710043398	-0.473034721586355	0.636188407586523	0.731375688267082	Bushbuckridge	species
Clostridium sp. PI-S10-A1B	399.515087300989	-0.311746135924334	0.21324252827137	-1.4619322817614	0.14375976770037	0.21707009700031	Bushbuckridge	species
Clostridia bacterium	7996.26415986036	-0.299258082631267	0.307625895946051	-0.972798735655691	0.330653341212535	0.43631864807828	Bushbuckridge	species
Bacteroidales bacterium 43_36	595.763494074634	-0.297516068849679	0.249315695724067	-1.19333068054792	0.232739891333138	0.335104876325075	Bushbuckridge	species
Roseburia sp. AF15-21	422.142058635846	-0.296840739757677	0.272004308338793	-1.09130896334167	0.275136955011925	0.385700073192237	Bushbuckridge	species
Parabacteroides sp. AF19-14	694.421201270699	-0.294096340959972	0.333426819901106	-0.882041645741638	0.377754286738181	0.484771357399737	Bushbuckridge	species
Blautia sp. TM10-2	1352.47795911789	-0.281854490121031	0.18305920329138	-1.53969035729057	0.12363584840244	0.192107088404244	Bushbuckridge	species
Bacteroidales bacterium UBA6878	424.591889114251	-0.279750617658145	0.719960945713759	-0.388563601017002	0.697598997063788	0.782703495781366	Bushbuckridge	species
Ruminococcaceae bacterium AM28-23LB	1731.42480557245	-0.271420589402543	0.157430911506387	-1.72406160140622	0.0846967230855191	0.140851810720302	Bushbuckridge	species
Clostridiaceae bacterium	30302.8980927141	-0.269949178652826	0.216395461710492	-1.24748077671787	0.212221264511712	0.308177769278969	Bushbuckridge	species
Firmicutes bacterium CAG_194_44_15	3883.89052539128	-0.263864804287333	0.308178971928741	-0.856206387593329	0.391883630032488	0.501842538881267	Bushbuckridge	species
Butyricicoccus sp. AF24-19AC	1075.20944180532	-0.25706440226752	0.154939451744229	-1.65912812633336	0.0970899767112614	0.156465466863764	Bushbuckridge	species
Blautia sp. BIOML-A1	462.216761025834	-0.254452621495521	0.237478358736323	-1.07147709311081	0.283954965126059	0.395322623466783	Bushbuckridge	species
Ruminococcus sp. OM02-16LB	414.984682275617	-0.25434275111912	0.199399372373337	-1.27554439159874	0.202116622266467	0.296340071777164	Bushbuckridge	species
Enterobacter hormaechei	3676.51746149053	-0.244049616115932	0.346601976540587	-0.704120670492928	0.481357628441998	0.590108936901551	Bushbuckridge	species
Enterococcus faecalis	944.57682668475	-0.231925281488229	0.300673901533929	-0.771351554973778	0.440498581730112	0.550170039321354	Bushbuckridge	species
Firmicutes bacterium CAG:110_56_8	8078.94285563513	-0.229123110244507	0.308794381131984	-0.741992485111237	0.458091888725516	0.567473013176302	Bushbuckridge	species
Firmicutes bacterium AF16-15	469.404562744925	-0.228172672922613	0.201843910968667	-1.13044119997275	0.258290361901996	0.366313667463811	Bushbuckridge	species
Clostridiales bacterium 52_15	10823.8020108754	-0.21908781893835	0.126940310195617	-1.72591211255693	0.0843632252822448	0.140851810720302	Bushbuckridge	species
Bacteroidales bacterium UBA7566	1943.06834651115	-0.21740939322367	0.525339282227099	-0.413845681408014	0.678987126498323	0.770364833242022	Bushbuckridge	species
Firmicutes bacterium CAG:194	3902.32023344997	-0.216292495753689	0.424175343013893	-0.509912938873029	0.610112456760514	0.710821998567431	Bushbuckridge	species
Blautia sp. OM06-15AC	755.299950279432	-0.214737432368831	0.213039197476105	-1.00797146681383	0.313468160355724	0.419485758667048	Bushbuckridge	species
Alistipes sp. CAG:514	27789.7237935217	-0.214401748420041	0.506428138912668	-0.423360654643666	0.672032146720233	0.763901709848654	Bushbuckridge	species
Butyricicoccus sp. N15.MGS-46	410.422891984124	-0.211260934776551	0.20102665478835	-1.05091006463285	0.293299897445989	0.403703033446067	Bushbuckridge	species
Intestinimonas butyriciproducens	2101.10065223355	-0.210480691831139	0.144890072791736	-1.45269229130475	0.146309208262147	0.220371437754648	Bushbuckridge	species
Clostridiales bacterium UBA643	3358.86998856338	-0.204219501621078	0.409941910781612	-0.498166926215728	0.6183663918489	0.71516204399718	Bushbuckridge	species
Clostridium sp. AF15-49	780.597414507319	-0.200804549231409	0.39895413583245	-0.503327403317712	0.614734102982364	0.714834483736198	Bushbuckridge	species
[Eubacterium] rectale	34211.8520936701	-0.196277512742615	0.313739795790648	-0.625606044805317	0.531573372943101	0.642759038598531	Bushbuckridge	species
Butyricicoccus sp. AM05-1	805.696142184304	-0.194801733684638	0.182220452852513	-1.06904428473958	0.285049715108277	0.395913956195824	Bushbuckridge	species
Prevotella intermedia	2205.93068484027	-0.193509100105583	0.328253551745369	-0.589511062642486	0.555518493290563	0.662474902607804	Bushbuckridge	species
Parabacteroides sp.	566.445503900511	-0.176303303533655	0.335715658984108	-0.525156628282272	0.599474312675154	0.702472794968762	Bushbuckridge	species
Bacteroides salyersiae	534.342149741505	-0.170120201746894	0.34063803025079	-0.499416350023059	0.617486103239216	0.71516204399718	Bushbuckridge	species
Lachnospira pectinoschiza	586.433068797553	-0.168942932842598	0.299164380902618	-0.564716067911812	0.572266903429559	0.67844923902684	Bushbuckridge	species
Bacteroidales bacterium UBA1072	393.954057636419	-0.166817881232986	0.66796219532921	-0.249741500940436	0.80278726178064	0.870164049822944	Bushbuckridge	species
Firmicutes bacterium UBA6418	863.075324707485	-0.164772317632252	0.173899487622939	-0.947514681524095	0.343376578632921	0.447486909656078	Bushbuckridge	species
Bacteroidales bacterium UBA774	4330.02521281881	-0.162922204126924	0.507163213562658	-0.321242155917517	0.748026887892891	0.827053407925291	Bushbuckridge	species
Subdoligranulum sp. AM23-21AC	2211.26115134603	-0.155550691367279	0.154341535610295	-1.00783428616414	0.313534023117577	0.419485758667048	Bushbuckridge	species
Prevotella sp. Marseille-P4119	50651.1611508669	-0.144415403446169	0.386577356644987	-0.373574398406353	0.708720984175624	0.792253475864832	Bushbuckridge	species
Bacteroides bouchesdurhonensis	1080.43227066772	-0.144243727001722	0.307385466039826	-0.469260075500881	0.638883748988235	0.733085889670811	Bushbuckridge	species
Pseudoflavonifractor sp. AF19-9AC	502.954921876126	-0.143345971980331	0.13777096330376	-1.04046577408534	0.298123557223119	0.407770670872709	Bushbuckridge	species
Ruminococcaceae bacterium AF10-16	9251.59148406148	-0.132361569135634	0.17628039963554	-0.750858118141842	0.452738048104715	0.561987720244503	Bushbuckridge	species
Butyricicoccus sp. AM32-19	835.693117458568	-0.131761203254565	0.187487794923266	-0.70277216342798	0.482197747451679	0.590108936901551	Bushbuckridge	species
[Clostridium] leptum	384.905280964359	-0.130613018931008	0.252671770103766	-0.516927628588537	0.605206680082195	0.706899180303902	Bushbuckridge	species
Bacteroidales bacterium UBA6401	523.325572725569	-0.13033014815154	0.596262379046702	-0.218578519677713	0.826978387012893	0.886883181831848	Bushbuckridge	species
Bacteroidales bacterium UBA6397	5332.13479410754	-0.12831257186661	0.501675044396025	-0.255768297227317	0.798129754973895	0.869775154881785	Bushbuckridge	species
Blautia sp. AF22-5LB	417.651641184995	-0.128273768405465	0.226791906412602	-0.565601173492042	0.571664929926523	0.67844923902684	Bushbuckridge	species
uncultured Bacteroidia bacterium	5649.83383702361	-0.12651393252214	0.272257825990965	-0.464684282487213	0.642157565643756	0.735452155369359	Bushbuckridge	species
Prevotella sp. CAG:520	21915.6164993159	-0.125645661660437	0.383700015109815	-0.327458057629936	0.743321460947377	0.823350596341346	Bushbuckridge	species
Erysipelotrichaceae bacterium AF15-26LB	452.440969677457	-0.125375240302543	0.212414345193045	-0.590239045242449	0.555030398568266	0.662474902607804	Bushbuckridge	species
Blautia wexlerae	1197.01709903023	-0.122136550428059	0.182648546910425	-0.668697082424409	0.503688729028244	0.613933852450088	Bushbuckridge	species
Bacteroidales bacterium UBA4672	752.083398731366	-0.119553766630563	0.801653097046309	-0.149134041982821	0.881447864626481	0.925672757488363	Bushbuckridge	species
Clostridiales bacterium	85895.5707109061	-0.118901856796613	0.21266586659067	-0.559101743513312	0.576092284924836	0.681653054482214	Bushbuckridge	species
Firmicutes bacterium CAG:129_59_24	2221.47896292616	-0.11859848155316	0.21841129923798	-0.543005247287761	0.587126189593688	0.690669761789474	Bushbuckridge	species
uncultured Coprococcus sp.	882.604357087844	-0.115713005883278	0.316364167353808	-0.365758887459176	0.714545000295143	0.795832688402113	Bushbuckridge	species
Carnobacterium sp. N15.MGS-207	729.308642282129	-0.11547184311819	0.294950782110415	-0.391495293865546	0.695431166604735	0.782703495781366	Bushbuckridge	species
Bacteroidales bacterium UBA4624	2437.95223257457	-0.108898751741862	0.525185660407628	-0.207352865760536	0.835734290254619	0.891547828092362	Bushbuckridge	species
Catenibacterium sp.	838.386758554359	-0.097131658265675	0.383853379337317	-0.253043645032806	0.800234486554617	0.870164049822944	Bushbuckridge	species
Sutterella sp. 63_29	3823.87087620134	-0.0949967629695181	0.484460316193216	-0.196087811104906	0.844541436393475	0.899362547176911	Bushbuckridge	species
Hungatella hathewayi	1467.5377141553	-0.0942389603582007	0.232490886420643	-0.405344750536565	0.685224116489286	0.775990743860068	Bushbuckridge	species
